target_year,kecamatan,produksi_ton,pred_xgb_produksi_ton,pred_persistence_produksi_ton,pred_rf_produksi_ton,pred_xgb_luas_panen_bersih_ha,pred_rf_luas_panen_bersih_ha,pred_xgb_yield_t_ha,pred_rf_yield_t_ha,pred_deep_produksi_ton,pred_hybrid_harvest_ha,pred_hybrid_yield_t_ha,pred_hybrid_agronomic_produksi_ton,prediksi_final_produksi_ton_v8
2021,TANGGUL,33697.0,39864.65,42608.0,39724.811981446765,6285.373,6074.114502351496,6.104003,6.2186086870598665,50379.055,6084.677423474156,6.2186086870598665,37838.22788357343,37838.22788357343
2021,TEMPUREJO,24908.0,21641.066,21426.0,21660.490861039663,3644.5464,3630.797859699829,6.068009,5.956004187051371,19370.205,3631.4852921542906,5.956004187051371,21629.141605286426,21629.141605286426
2021,UMBULSARI,20712.0,21008.844,19082.0,19626.9244998399,3443.8354,3427.4711039311837,6.2522383,6.287977841656108,17071.283,3428.289321195562,6.287977841656108,21557.007286463955,21557.007286463955
2021,WULUHAN,35661.0,32038.701,35798.0,31993.0346537989,4899.765,4965.629158293483,6.6861124,6.692764507344224,30234.803,4962.335966370019,6.692764507344224,33211.746029238966,33211.746029238966
2022,AJUNG,50561.0,48312.68,47722.0,48176.546308955,8114.744,8120.001922873275,6.12339,6.052967895519662,44445.547,8119.4761568554795,6.052967895519662,49146.92850588358,49146.92850588358
2022,AMBULU,23251.0,25130.54,25221.0,24000.97082168188,3667.3687,3680.3928279125075,6.6177993,6.714380786248217,24073.104,3679.090422562663,6.714380786248217,24702.814044124578,24702.814044124578
2022,ARJASA,18373.0,16321.989,17410.0,16290.632334662652,3098.836,3015.472026773308,5.564999,5.62643074689381,16384.625,3023.808430053008,5.62643074689381,17013.248723566947,17013.248723566947
2022,BALUNG,35736.0,37462.027,36816.0,37672.10076293065,5845.5825,5815.07275355375,6.626495,6.687556606808851,36558.582,5818.123766772594,6.687556606808851,38909.03203571166,38909.03203571166
2022,BANGSALSARI,49532.0,49223.266,50376.0,50089.231630604045,8150.6973,8171.458364118494,6.096057,6.248881234714241,47919.15,8169.382290890238,6.248881234714241,51049.49969675085,51049.49969675085
2022,GUMUKMAS,44964.0,45384.85,43655.0,43613.15668799801,7394.0312,7220.159180067457,6.395426,6.375934402562455,42869.953,7237.546399267742,6.375934402562455,46146.12107723322,46146.12107723322
2022,JELBUK,14128.0,12255.114,14785.0,13070.221900683871,2364.258,2275.103140450687,5.63692,5.652767348271249,14496.85,2284.0186381731965,5.652767348271249,12911.02598070841,12911.02598070841
